time_s,true_error_1,true_error_2,predicted_error_1,predicted_error_2,mode_1,mode_2,impulse
0.0,1.18,-0.96,1.18,-0.96,1.0,1.0,0.0
0.02,1.1297125,-0.91387683,1.1373978,-0.9207851,1.0,1.0,0.0
0.04,1.0803272,-0.87226915,1.096197,-0.88286406,1.0,1.0,0.0
0.06,1.0334951,-0.8305103,1.0563091,-0.84616935,1.0,1.0,0.0
0.08,0.9889312,-0.78976893,1.0176554,-0.8106391,1.0,1.0,0.0
0.1,0.94684714,-0.7513065,0.980166,-0.7762162,1.0,1.0,0.0
0.12,0.9064511,-0.7146195,0.9437792,-0.74284834,1.0,0.0,0.0
0.14,0.8678743,-0.68202645,0.90379614,-0.7122508,1.0,0.0,0.0
0.16,0.83068305,-0.648021,0.8650044,-0.6827704,1.0,0.0,0.0
0.18,0.4927028,-0.3818597,0.5143025,-0.39423814,0.0,0.0,1.0
0.2,0.47006327,-0.36136436,0.49131912,-0.37208542,0.0,0.0,0.0
0.22,0.44983277,-0.34272265,0.46890175,-0.35072052,0.0,0.0,0.0
0.24,0.42950857,-0.32426634,0.44703567,-0.3301247,0.0,0.0,0.0
0.26,0.4100503,-0.3066344,0.42576802,-0.31025705,0.0,0.0,0.0
0.28,0.39217848,-0.28783843,0.40508705,-0.2911006,0.0,0.0,0.0
0.3,0.3745016,-0.27158096,0.3859192,-0.2749692,0.0,0.0,0.0
0.32,0.35601524,-0.2570642,0.36727735,-0.25952706,0.0,0.0,0.0
0.34,0.3386989,-0.24359454,0.34916466,-0.24476382,0.0,0.0,0.0
0.36,0.3228011,-0.22932419,0.33158463,-0.23066851,0.0,0.0,0.0
0.38,0.30773464,-0.21699856,0.31453988,-0.21722986,0.0,0.0,0.0
0.4,0.29298642,-0.20399138,0.29803288,-0.2044359,0.0,0.0,0.0
0.42,0.27884582,-0.19264513,0.28207013,-0.19223957,0.0,0.0,0.0
0.44,0.26609626,-0.18184766,0.26665235,-0.18062611,0.0,0.0,0.0
0.46,0.25442415,-0.17225045,0.25177956,-0.16958016,0.0,0.0,0.0
0.48,0.24083926,-0.16344686,0.23745102,-0.15908578,0.0,0.0,0.0
0.5,0.2290985,-0.15452234,0.22366506,-0.1491265,0.0,0.0,0.0
0.52,0.218566,-0.14509879,0.21041907,-0.13968535,0.0,0.0,0.0
0.54,0.20829958,-0.13673691,0.19770914,-0.13074557,0.0,0.0,0.0
0.56,0.12339466,-0.08023621,0.12013314,-0.07219335,0.0,0.0,1.0
0.58,0.11695576,-0.07497988,0.111198425,-0.06614587,0.0,0.0,0.0
0.6,0.11103591,-0.06993478,0.102708064,-0.06048799,0.0,0.0,0.0
0.62,0.104147494,-0.06525244,0.09465359,-0.055203013,0.0,0.0,0.0
0.64,0.09800043,-0.060930096,0.087025754,-0.050274312,0.0,0.0,0.0
0.66,0.09241647,-0.056285016,0.07981457,-0.045685373,0.0,0.0,0.0
0.68,0.08775652,-0.05324664,0.073993735,-0.04254229,0.0,0.0,0.0
0.7000000000000001,0.082624406,-0.04885743,0.068508536,-0.039634958,0.0,0.0,0.0
0.72,0.07757138,-0.04506619,0.06334749,-0.03694929,0.0,0.0,0.0
0.74,0.07331615,-0.04236788,0.058498826,-0.03447158,0.0,0.0,0.0
0.76,0.06895853,-0.039299116,0.053950544,-0.03218851,0.0,0.0,0.0
0.78,0.06540981,-0.03675309,0.049690485,-0.030087182,0.0,0.0,0.0
0.8,0.061959725,-0.034313057,0.045689248,-0.028127326,0.0,0.0,0.0
0.8200000000000001,0.058975395,-0.032045625,0.04193554,-0.026299303,0.0,0.0,0.0
0.84,0.055078357,-0.030357953,0.03841815,-0.024593897,0.0,0.0,0.0
0.86,0.05163621,-0.028004667,0.03512598,-0.023002295,0.0,0.0,0.0
0.88,0.048552506,-0.02615837,0.032048065,-0.021516109,0.0,0.0,0.0
0.9,0.045640495,-0.024845295,0.029173646,-0.02012736,0.0,0.0,0.0
0.92,0.043429084,-0.022601116,0.026492512,-0.018829204,0.0,0.0,0.0
0.9400000000000001,0.024959914,-0.012964636,0.016449083,-0.010141907,0.0,0.0,1.0
0.96,0.022403704,-0.012407947,0.014581024,-0.009373617,0.0,0.0,0.0
0.98,0.02074164,-0.010728646,0.012875872,-0.008679304,0.0,0.0,0.0
1.0,0.018124955,-0.00876485,0.011321251,-0.008053204,0.0,0.0,0.0
1.02,0.015991013,-0.0074423985,0.00990556,-0.0074899863,0.0,0.0,0.0
1.04,0.014805501,-0.007172232,0.008617936,-0.0069847014,0.0,0.0,0.0
1.06,0.012922082,-0.006367052,0.0076084426,-0.0067352243,0.0,0.0,0.0
1.08,0.011371761,-0.0059949863,0.0066891555,-0.006515957,0.0,0.0,0.0
1.1,0.010229831,-0.005051,0.0058521484,-0.0063237096,0.0,0.0,0.0
1.12,0.008613177,-0.0040532597,0.0050901324,-0.006155572,0.0,0.0,0.0
1.1400000000000001,0.007611251,-0.0046268757,0.004396421,-0.006008893,0.0,0.0,0.0
1.16,0.0065742363,-0.0039630206,0.0037648818,-0.0058812597,0.0,0.0,0.0
1.18,0.0056941328,-0.0034191369,0.0031864909,-0.0057650027,0.0,0.0,0.0
1.2,0.0049954928,-0.003061369,0.0026566877,-0.00565889,0.0,0.0,0.0
1.22,0.00409159,-0.0026147251,0.0021713045,-0.0055618226,0.0,0.0,0.0
1.24,0.0035694477,-0.0022362,0.001726531,-0.005472821,0.0,0.0,0.0
1.26,0.0033807794,-0.0020556,0.0013188884,-0.005391017,0.0,0.0,0.0
1.28,0.0031978337,-0.0020978905,0.00094519975,-0.005315638,0.0,0.0,0.0
